recall_year,recall_month,car_model,car_num
2022년,12월,비엠더블유코리아(주),33969
2022년,11월,비엠더블유코리아(주),43
2022년,10월,비엠더블유코리아(주),1866
2022년,09월,비엠더블유코리아(주),139
2022년,08월,비엠더블유코리아(주),19063
2022년,07월,비엠더블유코리아(주),180
2022년,06월,비엠더블유코리아(주),14117
2022년,05월,비엠더블유코리아(주),328
2022년,04월,비엠더블유코리아(주),383
2022년,03월,비엠더블유코리아(주),6029
2022년,01월,비엠더블유코리아(주),73
2022년,총합,비엠더블유코리아(주),76190
2022년,10월,스텔란티스코리아 주식회사,40
2022년,09월,스텔란티스코리아 주식회사,1963
2022년,08월,스텔란티스코리아 주식회사,1693
2022년,07월,스텔란티스코리아 주식회사,4
2022년,06월,스텔란티스코리아 주식회사,7605
2022년,05월,스텔란티스코리아 주식회사,814
2022년,03월,스텔란티스코리아 주식회사,221
2022년,02월,스텔란티스코리아 주식회사,9052
2022년,총합,스텔란티스코리아 주식회사,21392
2022년,11월,포드세일즈서비스코리아(유),20649
2022년,10월,포드세일즈서비스코리아(유),378
2022년,09월,포드세일즈서비스코리아(유),3541
2022년,08월,포드세일즈서비스코리아(유),507
2022년,07월,포드세일즈서비스코리아(유),4201
2022년,06월,포드세일즈서비스코리아(유),1
2022년,05월,포드세일즈서비스코리아(유),244
2022년,04월,포드세일즈서비스코리아(유),19769
2022년,03월,포드세일즈서비스코리아(유),1201
2022년,총합,포드세일즈서비스코리아(유),50491
2022년,08월,지엠아시아퍼시픽지역본부 주식회사,710
2022년,07월,지엠아시아퍼시픽지역본부 주식회사,2
2022년,총합,지엠아시아퍼시픽지역본부 주식회사,712
2022년,12월,메르세데스벤츠코리아(주),31195
2022년,11월,메르세데스벤츠코리아(주),2496
2022년,10월,메르세데스벤츠코리아(주),11679
2022년,09월,메르세데스벤츠코리아(주),17609
2022년,08월,메르세데스벤츠코리아(주),438
2022년,07월,메르세데스벤츠코리아(주),1159
2022년,06월,메르세데스벤츠코리아(주),1178
2022년,05월,메르세데스벤츠코리아(주),17512
2022년,04월,메르세데스벤츠코리아(주),38670
2022년,03월,메르세데스벤츠코리아(주),38116
2022년,02월,메르세데스벤츠코리아(주),16528
2022년,01월,메르세데스벤츠코리아(주),27
2022년,총합,메르세데스벤츠코리아(주),176607
2022년,11월,(주)볼보자동차코리아,927
2022년,09월,(주)볼보자동차코리아,58165
2022년,06월,(주)볼보자동차코리아,46
2022년,총합,(주)볼보자동차코리아,59138
2022년,09월,폴스타오토모티브코리아 유한회사,2410
2022년,총합,폴스타오토모티브코리아 유한회사,2410
2022년,10월,한국토요타자동차(주),278
2022년,08월,한국토요타자동차(주),190
2022년,05월,한국토요타자동차(주),1789
2022년,총합,한국토요타자동차(주),2257
2022년,06월,볼보트럭코리아(주),1295
2022년,총합,볼보트럭코리아(주),1295
2022년,10월,스카니아코리아그룹(주),55
2022년,총합,스카니아코리아그룹(주),55
2022년,11월,만트럭버스코리아(주),1
2022년,06월,만트럭버스코리아(주),222
2022년,02월,만트럭버스코리아(주),391
2022년,01월,만트럭버스코리아(주),563
2022년,총합,만트럭버스코리아(주),1177
2022년,04월,혼다코리아(주),15323
2022년,02월,혼다코리아(주),4532
2022년,총합,혼다코리아(주),19855
2022년,12월,폭스바겐그룹코리아 주식회사,25002
2022년,11월,폭스바겐그룹코리아 주식회사,375
2022년,10월,폭스바겐그룹코리아 주식회사,1340
2022년,09월,폭스바겐그룹코리아 주식회사,2001
2022년,07월,폭스바겐그룹코리아 주식회사,1882
2022년,05월,폭스바겐그룹코리아 주식회사,1728
2022년,04월,폭스바겐그룹코리아 주식회사,1088
2022년,02월,폭스바겐그룹코리아 주식회사,19749
2022년,01월,폭스바겐그룹코리아 주식회사,2613
2022년,총합,폭스바겐그룹코리아 주식회사,55778
2022년,11월,포르쉐코리아 주식회사,2
2022년,10월,포르쉐코리아 주식회사,3915
2022년,08월,포르쉐코리아 주식회사,2480
2022년,05월,포르쉐코리아 주식회사,981
2022년,03월,포르쉐코리아 주식회사,658
2022년,02월,포르쉐코리아 주식회사,370
2022년,01월,포르쉐코리아 주식회사,3196
2022년,총합,포르쉐코리아 주식회사,11602
2022년,12월,다임러트럭코리아(주),21
2022년,10월,다임러트럭코리아(주),179
2022년,03월,다임러트럭코리아(주),23
2022년,총합,다임러트럭코리아(주),223
2022년,10월,(주)에프엠케이,1157
2022년,07월,(주)에프엠케이,1
2022년,06월,(주)에프엠케이,92
2022년,05월,(주)에프엠케이,10
2022년,03월,(주)에프엠케이,428
2022년,총합,(주)에프엠케이,1688
2022년,10월,(주)재규어랜드로버코리아,228
2022년,09월,(주)재규어랜드로버코리아,65
2022년,05월,(주)재규어랜드로버코리아,12134
2022년,04월,(주)재규어랜드로버코리아,159
2022년,총합,(주)재규어랜드로버코리아,12586
2022년,04월,기흥인터내셔널 유한회사,16
2022년,총합,기흥인터내셔널 유한회사,16
2022년,12월,테슬라코리아 유한회사,26101
2022년,11월,테슬라코리아 유한회사,45320
2022년,06월,테슬라코리아 유한회사,4056
2022년,05월,테슬라코리아 유한회사,1254
2022년,04월,테슬라코리아 유한회사,1305
2022년,03월,테슬라코리아 유한회사,5
2022년,02월,테슬라코리아 유한회사,33337
2022년,01월,테슬라코리아 유한회사,1541
2022년,총합,테슬라코리아 유한회사,112919
2022년,10월,주식회사 피라인모터스,82
2022년,06월,주식회사 피라인모터스,35
2022년,05월,주식회사 피라인모터스,169
2022년,총합,주식회사 피라인모터스,286
2022년,02월,범한자동차 주식회사,69
2022년,총합,범한자동차 주식회사,69
2022년,01월,주식회사 마이브,5
2022년,총합,주식회사 마이브,5
2022년,12월,비엠더블유코리아(주)(이륜),385
2022년,11월,비엠더블유코리아(주)(이륜),241
2022년,09월,비엠더블유코리아(주)(이륜),37
2022년,06월,비엠더블유코리아(주)(이륜),3
2022년,04월,비엠더블유코리아(주)(이륜),123
2022년,총합,비엠더블유코리아(주)(이륜),789
2022년,12월,(유)기흥모터스(이륜),3235
2022년,02월,(유)기흥모터스(이륜),529
2022년,총합,(유)기흥모터스(이륜),3764
2022년,11월,혼다코리아(주)(이륜),434
2022년,09월,혼다코리아(주)(이륜),639
2022년,07월,혼다코리아(주)(이륜),57
2022년,03월,혼다코리아(주)(이륜),141
2022년,01월,혼다코리아(주)(이륜),13
2022년,총합,혼다코리아(주)(이륜),1284
2022년,04월,(주) 한국모터트레이딩(이륜),97
2022년,03월,(주) 한국모터트레이딩(이륜),80
2022년,총합,(주) 한국모터트레이딩(이륜),177
2022년,05월,(주)바이크코리아(이륜),24
2022년,03월,(주)바이크코리아(이륜),54
2022년,총합,(주)바이크코리아(이륜),78
2022년,10월,모토스타코리아(주)(이륜),3648
2022년,총합,모토스타코리아(주)(이륜),3648
2022년,12월,화창상사(주)(이륜),12
2022년,11월,화창상사(주)(이륜),35
2022년,10월,화창상사(주)(이륜),196
2022년,02월,화창상사(주)(이륜),42
2022년,총합,화창상사(주)(이륜),285
2022년,12월,(주)스포츠모터사이클코리아(이륜),53
2022년,총합,(주)스포츠모터사이클코리아(이륜),53
2022년,03월,대전기계공업(주)(이륜),399
2022년,총합,대전기계공업(주)(이륜),399
2022년,11월,유한회사 모토로싸(이륜),25
2022년,총합,유한회사 모토로싸(이륜),25
2022년,11월,기아 주식회사,38230
2022년,10월,기아 주식회사,283553
2022년,09월,기아 주식회사,24990
2022년,08월,기아 주식회사,463
2022년,07월,기아 주식회사,42854
2022년,05월,기아 주식회사,22535
2022년,04월,기아 주식회사,165470
2022년,03월,기아 주식회사,636859
2022년,02월,기아 주식회사,250590
2022년,총합,기아 주식회사,1465544
2022년,08월,르노코리아(주),3279
2022년,07월,르노코리아(주),7408
2022년,06월,르노코리아(주),28892
2022년,03월,르노코리아(주),9189
2022년,02월,르노코리아(주),45476
2022년,총합,르노코리아(주),94244
2022년,12월,한국지엠주식회사,223
2022년,10월,한국지엠주식회사,86
2022년,08월,한국지엠주식회사,500
2022년,총합,한국지엠주식회사,809
2022년,12월,현대자동차(주),974
2022년,10월,현대자동차(주),233093
2022년,09월,현대자동차(주),262
2022년,08월,현대자동차(주),307800
2022년,07월,현대자동차(주),205980
2022년,06월,현대자동차(주),243
2022년,05월,현대자동차(주),39804
2022년,04월,현대자동차(주),87636
2022년,03월,현대자동차(주),190762
2022년,02월,현대자동차(주),487
2022년,01월,현대자동차(주),1925
2022년,총합,현대자동차(주),1068966
2022년,12월,한신특장,83
2022년,총합,한신특장,83
2022년,10월,(주)다산중공업,348
2022년,08월,(주)다산중공업,49
2022년,총합,(주)다산중공업,397
2023년,12월,비엠더블유코리아(주),1627
2023년,11월,비엠더블유코리아(주),5
2023년,10월,비엠더블유코리아(주),6586
2023년,09월,비엠더블유코리아(주),53
2023년,08월,비엠더블유코리아(주),321
2023년,07월,비엠더블유코리아(주),69572
2023년,06월,비엠더블유코리아(주),15
2023년,05월,비엠더블유코리아(주),10
2023년,04월,비엠더블유코리아(주),429
2023년,03월,비엠더블유코리아(주),2051
2023년,02월,비엠더블유코리아(주),2414
2023년,01월,비엠더블유코리아(주),29
2023년,총합,비엠더블유코리아(주),83112
2023년,10월,스텔란티스코리아 주식회사,2632
2023년,07월,스텔란티스코리아 주식회사,987
2023년,06월,스텔란티스코리아 주식회사,1479
2023년,05월,스텔란티스코리아 주식회사,1737
2023년,04월,스텔란티스코리아 주식회사,737
2023년,01월,스텔란티스코리아 주식회사,984
2023년,총합,스텔란티스코리아 주식회사,8556
2023년,12월,포드세일즈서비스코리아(유),2644
2023년,11월,포드세일즈서비스코리아(유),17294
2023년,10월,포드세일즈서비스코리아(유),5801
2023년,09월,포드세일즈서비스코리아(유),3828
2023년,08월,포드세일즈서비스코리아(유),2155
2023년,06월,포드세일즈서비스코리아(유),2802
2023년,05월,포드세일즈서비스코리아(유),1
2023년,04월,포드세일즈서비스코리아(유),1089
2023년,02월,포드세일즈서비스코리아(유),34409
2023년,총합,포드세일즈서비스코리아(유),70023
2023년,08월,지엠아시아퍼시픽지역본부 주식회사,21
2023년,03월,지엠아시아퍼시픽지역본부 주식회사,504
2023년,총합,지엠아시아퍼시픽지역본부 주식회사,525
2023년,12월,메르세데스벤츠코리아(주),6877
2023년,11월,메르세데스벤츠코리아(주),9868
2023년,10월,메르세데스벤츠코리아(주),749
2023년,09월,메르세데스벤츠코리아(주),17551
2023년,08월,메르세데스벤츠코리아(주),14023
2023년,07월,메르세데스벤츠코리아(주),2579
2023년,06월,메르세데스벤츠코리아(주),9178
2023년,05월,메르세데스벤츠코리아(주),20555
2023년,04월,메르세데스벤츠코리아(주),14313
2023년,03월,메르세데스벤츠코리아(주),246
2023년,02월,메르세데스벤츠코리아(주),17111
2023년,01월,메르세데스벤츠코리아(주),469
2023년,총합,메르세데스벤츠코리아(주),113519
2023년,12월,(주)볼보자동차코리아,29
2023년,02월,(주)볼보자동차코리아,2587
2023년,01월,(주)볼보자동차코리아,5
2023년,총합,(주)볼보자동차코리아,2621
2023년,11월,제이스모빌리티 주식회사,910
2023년,총합,제이스모빌리티 주식회사,910
2023년,08월,폴스타오토모티브코리아 유한회사,1
2023년,총합,폴스타오토모티브코리아 유한회사,1
2023년,12월,한국토요타자동차(주),36
2023년,08월,한국토요타자동차(주),108
2023년,02월,한국토요타자동차(주),2397
2023년,총합,한국토요타자동차(주),2541
2023년,08월,볼보트럭코리아(주),1
2023년,01월,볼보트럭코리아(주),95
2023년,총합,볼보트럭코리아(주),96
2023년,09월,스카니아코리아그룹(주),1287
2023년,07월,스카니아코리아그룹(주),1
2023년,총합,스카니아코리아그룹(주),1288
2023년,03월,만트럭버스코리아(주),98
2023년,02월,만트럭버스코리아(주),127
2023년,총합,만트럭버스코리아(주),225
2023년,12월,혼다코리아(주),730
2023년,07월,혼다코리아(주),5434
2023년,04월,혼다코리아(주),6638
2023년,총합,혼다코리아(주),12802
2023년,12월,폭스바겐그룹코리아 주식회사,4
2023년,11월,폭스바겐그룹코리아 주식회사,5674
2023년,10월,폭스바겐그룹코리아 주식회사,216
2023년,09월,폭스바겐그룹코리아 주식회사,1
2023년,08월,폭스바겐그룹코리아 주식회사,438
2023년,07월,폭스바겐그룹코리아 주식회사,317
2023년,06월,폭스바겐그룹코리아 주식회사,24348
2023년,05월,폭스바겐그룹코리아 주식회사,156
2023년,04월,폭스바겐그룹코리아 주식회사,13036
2023년,03월,폭스바겐그룹코리아 주식회사,14
2023년,02월,폭스바겐그룹코리아 주식회사,110260
2023년,01월,폭스바겐그룹코리아 주식회사,18327
2023년,총합,폭스바겐그룹코리아 주식회사,172791
2023년,08월,한국닛산(주),770
2023년,06월,한국닛산(주),251
2023년,04월,한국닛산(주),770
2023년,총합,한국닛산(주),1791
2023년,12월,포르쉐코리아 주식회사,81
2023년,11월,포르쉐코리아 주식회사,970
2023년,09월,포르쉐코리아 주식회사,914
2023년,07월,포르쉐코리아 주식회사,2
2023년,06월,포르쉐코리아 주식회사,6495
2023년,05월,포르쉐코리아 주식회사,5194
2023년,04월,포르쉐코리아 주식회사,14759
2023년,03월,포르쉐코리아 주식회사,16
2023년,02월,포르쉐코리아 주식회사,2
2023년,총합,포르쉐코리아 주식회사,28433
2023년,01월,다임러트럭코리아(주),5
2023년,총합,다임러트럭코리아(주),5
2023년,11월,(주)에프엠케이,78
2023년,09월,(주)에프엠케이,14
2023년,07월,(주)에프엠케이,65
2023년,04월,(주)에프엠케이,1
2023년,총합,(주)에프엠케이,158
2023년,12월,(주)재규어랜드로버코리아,233
2023년,08월,(주)재규어랜드로버코리아,2384
2023년,07월,(주)재규어랜드로버코리아,21
2023년,06월,(주)재규어랜드로버코리아,2
2023년,04월,(주)재규어랜드로버코리아,22
2023년,03월,(주)재규어랜드로버코리아,164
2023년,총합,(주)재규어랜드로버코리아,2826
2023년,11월,기흥인터내셔널 유한회사,19
2023년,01월,기흥인터내셔널 유한회사,4
2023년,총합,기흥인터내셔널 유한회사,23
2023년,12월,테슬라코리아 유한회사,9914
2023년,11월,테슬라코리아 유한회사,1266
2023년,08월,테슬라코리아 유한회사,273
2023년,04월,테슬라코리아 유한회사,2539
